Tarih,Tahmin_TRY,Alt_Sinir_TRY,Ust_Sinir_TRY
2025-12-01 00:00:00,2932.9125140519322,1858.479895771782,3860.797669654845
2025-12-01 01:00:00,2744.906206984631,1718.0547137857934,3748.739603339867
2025-12-01 02:00:00,2625.664968476679,1559.040068775013,3627.938285682683
2025-12-01 03:00:00,2577.8911771252765,1653.0776860151868,3594.585097523424
2025-12-01 04:00:00,2579.725860964055,1533.93721429008,3603.2659722180765
2025-12-01 05:00:00,2613.6920473940877,1569.9970321968829,3662.720920914445
2025-12-01 06:00:00,2673.0406221981125,1638.9634221126978,3712.638359166105
2025-12-01 07:00:00,2741.0179967822983,1710.395636843531,3789.027853490193
2025-12-01 08:00:00,2922.7900851917643,1866.085415347768,3997.8682970983364
2025-12-01 09:00:00,2869.5624698565703,1868.18213290611,3829.5961121268497
2025-12-01 10:00:00,2674.281744052901,1608.7916637492847,3682.489694096041
2025-12-01 11:00:00,2338.802793247035,1266.0720209503659,3365.2283984132378
2025-12-01 12:00:00,2227.7081921966237,1173.4623633131248,3260.575877966672
2025-12-01 13:00:00,2282.4458678958017,1199.8031512635066,3179.0230940308534
2025-12-01 14:00:00,2506.217947760995,1512.1888629599357,3528.904925065242
2025-12-01 15:00:00,2811.3321298221904,1784.3010133580829,3828.4090081588383
2025-12-01 16:00:00,3125.8057371522136,2118.5785600098916,4122.323732588607
2025-12-01 17:00:00,3292.1409368494037,2258.771439548494,4357.067988886211
2025-12-01 18:00:00,3511.5400369707295,2512.445784123253,4500.445475022097
2025-12-01 19:00:00,3535.441896820178,2506.8938840339133,4575.612757193506
2025-12-01 20:00:00,3541.6724348906027,2385.110821810717,4580.453727688591
2025-12-01 21:00:00,3512.4658101933346,2448.613574449508,4480.697412375768
2025-12-01 22:00:00,3261.1956806680346,2176.9593846115745,4362.580308713901
2025-12-01 23:00:00,3075.956534038008,2063.8387943154853,4160.92490803372
2025-12-02 00:00:00,3270.4282722065577,2310.6557422380815,4340.218105916767
2025-12-02 01:00:00,3065.564356015484,2009.9401672162965,4029.829923263082
2025-12-02 02:00:00,2927.556385537009,1907.7621221601537,3910.10691612868
2025-12-02 03:00:00,2859.339685966269,1823.0558674732165,3868.7957688621123
2025-12-02 04:00:00,2839.3011420534426,1795.5141291770144,3827.7237018532464
2025-12-02 05:00:00,2850.2197235871154,1810.4822834637068,3900.8208782569527
2025-12-02 06:00:00,2885.609428437836,1843.4583737112393,3901.461189706576
